"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Token_Purchase_Card_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:16 GMT 2025","failed","Tue Jun 10 13:10:16 GMT 2025","Power > purchase > Token_purchase_card > Payment > Card","api","",""
"","87","Already_Subscribe_Newsletter","PawaPlay Channel API - Test","Tue Jun 10 13:10:20 GMT 2025","passed","Tue Jun 10 13:10:20 GMT 2025","Subscription > Subscribe_to_newsletter","api","",""
"","84","Reset_Password_PhoneNumber_NotConnected","PawaPlay Channel API - Test","Tue Jun 10 13:10:14 GMT 2025","passed","Tue Jun 10 13:10:14 GMT 2025","Login > Reset_password_Outside","api","",""
"","7","(USAGE: To confirm the status of a payment made with card (e.g: for token purchase) using the unique transaction reference","PawaPlay Channel API - Test","Tue Jun 10 13:10:16 GMT 2025","broken","Tue Jun 10 13:10:16 GMT 2025","Power > purchase > Token_purchase_card > Payment > Confirm card payemnt token purchase status","api","",""
"","78","Reissue_Authorization_Token_Expired","PawaPlay Channel API - Test","Tue Jun 10 13:10:12 GMT 2025","passed","Tue Jun 10 13:10:12 GMT 2025","Onboarding > Customer > Reissue_token","api","",""
"","79","Add_Notification_Invalid_ProfileID","PawaPlay Channel API - Test","Tue Jun 10 13:10:20 GMT 2025","passed","Tue Jun 10 13:10:20 GMT 2025","Notifications > Customer > Add_notification","api","",""
"","11","Re-initiate_WalletCreation_successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:17 GMT 2025","broken","Tue Jun 10 13:10:17 GMT 2025","Account > WalletMaintenance > Customer > Resend_wallet_creation","api","",""
"","80","Set_Wallet_PIN_AlreadySet","PawaPlay Channel API - Test","Tue Jun 10 13:10:18 GMT 2025","failed","Tue Jun 10 13:10:18 GMT 2025","Account > Transaction Pin > Set_wallet_pin","api","",""
"","86","Login_PhoneNumber_NotConnected","PawaPlay Channel API - Test","Tue Jun 10 13:10:14 GMT 2025","passed","Tue Jun 10 13:10:14 GMT 2025","Login > Login","api","",""
"","82","Invalid_UsageReason_OTP_Unauthorized","PawaPlay Channel API - Test","Tue Jun 10 13:10:13 GMT 2025","passed","Tue Jun 10 13:10:13 GMT 2025","Onboarding > OTP_Outside_App > Validate_OTP_Outside_App","api","",""
"","94","Valid_OTP_Unauthorized_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:13 GMT 2025","failed","Tue Jun 10 13:10:13 GMT 2025","Onboarding > OTP_Outside_App > Validate_OTP_Outside_App","api","",""
"","11","Wallet_Creation_Link_NIN_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:17 GMT 2025","broken","Tue Jun 10 13:10:17 GMT 2025","Account > WalletMaintenance > Customer > Wallet > Wallet_creation","api","",""
"","79","Set_Wallet_PIN_Invalid_PIN","PawaPlay Channel API - Test","Tue Jun 10 13:10:18 GMT 2025","failed","Tue Jun 10 13:10:18 GMT 2025","Account > Transaction Pin > Set_wallet_pin","api","",""
"","81","Get_All_Feedback_Complaint_Subject_Categories_Unauthourized","PawaPlay Channel API - Test","Tue Jun 10 13:10:19 GMT 2025","passed","Tue Jun 10 13:10:19 GMT 2025","Help & Support > Feedback categories","api","",""
"","11","Get_Wallet _Information_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:18 GMT 2025","broken","Tue Jun 10 13:10:18 GMT 2025","Account > WalletMaintenance > Customer > Wallet_information","api","",""
"","82","Add_emailAddress_AlreadyLinked","PawaPlay Channel API - Test","Tue Jun 10 13:10:16 GMT 2025","failed","Tue Jun 10 13:10:16 GMT 2025","Account > Profile_Maintenance > customer > Add_email","api","",""
"","78","Retrieve_Customer's_Notifications_PaginatedList_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:19 GMT 2025","passed","Tue Jun 10 13:10:19 GMT 2025","Notifications > Customer > Notifications","api","",""
"","83","Add_emailAddress_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:16 GMT 2025","failed","Tue Jun 10 13:10:16 GMT 2025","Account > Profile_Maintenance > customer > Add_email","api","",""
"","78","Update_Notification_Read_InvalidID","PawaPlay Channel API - Test","Tue Jun 10 13:10:20 GMT 2025","passed","Tue Jun 10 13:10:20 GMT 2025","Notifications > Customer > Read_notification","api","",""
"","6","Process_token_purchase_card","PawaPlay Channel API - Test","Tue Jun 10 13:10:16 GMT 2025","broken","Tue Jun 10 13:10:16 GMT 2025","Power > purchase > Token_purchase_card > Token_purhcase_card","api","",""
"","81","ServerTest_protected_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:21 GMT 2025","failed","Tue Jun 10 13:10:21 GMT 2025","ServerTest > protected","api","",""
"","80","Change_Wallet_PIN_SamePIN","PawaPlay Channel API - Test","Tue Jun 10 13:10:19 GMT 2025","failed","Tue Jun 10 13:10:19 GMT 2025","Account > Transaction Pin > Change_wallet_pin","api","",""
"","81","States_ServiceProviders_Successful","PawaPlay Channel API - Test","Tue Jun 10 13:10:15 GMT 2025","failed","Tue Jun 10 13:10:15 GMT 2025","Power > Get > Token_purchase_dropdowns","api","",""
"","78","States_ServiceProviders_Unauthorized","PawaPlay Channel API - Test","Tue Jun 10 13:10:15 GMT 2025","passed","Tue Jun 10 13:10:15 GMT 2025","Power > Get > Token_purchase_dropdowns","api","",""
"","79","Change_Wallet_PIN_Unauthourized","PawaPlay Channel API - Test","Tue Jun 10 13:10:19 GMT 2025","passed","Tue Jun 10 13:10:19 GMT 2025","Account > Transaction Pin > Change_wallet_pin","api","",""
